an2.6;Gihisukhañca;pabbajitasukhañca.
an2.65:Kāmasukhañca;nekkhammasukhañca.
an2.66:Upadhisukhañca;nirupadhisukhañca.
an2.67:Sāsavasukhañca;anāsavasukhañca.
an2.68:Sāmisañca sukhaṁ;nirāmisañca sukhaṁ.
an2.69:Ariyasukhañca;anariyasukhañca.
an2.70:Kāyikañca sukhaṁ;cetasikañca sukhaṁ.
an2.71:Sappītikañca sukhaṁ;nippītikañca sukhaṁ.
an2.72:Sātasukhañca;upekkhāsukhañca.
an2.73:Samādhisukhañca;asamādhisukhañca.
an2.74:Sappītikārammaṇañca sukhaṁ;nippītikārammaṇañca sukhaṁ.
an2.75:Sātārammaṇañca sukhaṁ;upekkhārammaṇañca sukhaṁ.
an2.76:Rūpārammaṇañca sukhaṁ;arūpārammaṇañca sukhaṁ.